,BMS_min_cell_temp_id_9.0,OBC_internal_voltage,OBC_internal_current,BMS_max_cell_voltage_id_8.0,BMS_max_cell_temp_id_3.0,BMS_max_cell_temp_id_4.0,BMS_max_cell_voltage,BMS_min_cell_temp_id_12.0,BMS_bus_current,LV_voltage,BMS_max_cell_temp_id_0.0,BMS_max_cell_temp_id_5.0,OBC_output_current,LV_temperature,BMS_min_cell_voltage,MCU_motor_avg_temp,BMS_max_cell_temp_id_1.0,LV_current,BMS_min_cell_voltage_id_4.0,BMS_max_cell_voltage_id_11.0,BMS_min_cell_temp_id_11.0,BMS_bus_voltage,OBC_output_voltage,BMS_min_cell_voltage_id_5.0,BMS_max_cell_temp_id_2.0,BMS_max_cell_voltage_id_6.0,BMS_max_cell_temp,BMS_min_cell_voltage_id_0.0,BMS_min_cell_voltage_id_2.0,BMS_soh,BMS_min_cell_temp_id_10.0,BMS_min_cell_voltage_id_3.0,MCU_motor_speed,BMS_max_cell_voltage_id_12.0,BMS_max_cell_voltage_id_9.0,LV_soc,LV_soh,BMS_min_cell_temp_id_6.0,BMS_min_cell_voltage_id_1.0,BMS_isolation,BMS_min_cell_temp_id_7.0,BMS_max_cell_voltage_id_10.0,BMS_min_cell_temp,OBC_mux_1.0,BMS_max_cell_voltage_id_7.0
1327,0.0,-0.15546404,0.13982019,1.0,0.0,0.0,0.16281663,0.0,-1.0734525,0.43999928,0.0,0.0,0.78983575,-0.25641027,0.00934738,0.27966508,1.0,0.84986514,0.0,0.0,0.0,0.14033109,-0.11477008,0.0,0.0,0.0,-0.840235,1.0,0.0,-0.19683526,0.0,0.0,0.51548135,0.0,0.0,-0.2659609,0.038210213,1.0,0.0,0.6666667,0.0,0.0,0.752496,1.0,0.0
13714,0.0,-0.68180877,-0.9599887,0.0,0.0,0.0,-1.0710887,0.0,1.0156795,1.0326128,1.0,0.0,-0.56957024,0.20512821,-1.1121142,-3.3402405,0.0,-0.84986514,0.0,1.0,0.0,-1.071279,-0.524237,1.0,0.0,0.0,1.1259103,0.0,0.0,-1.0922947,0.0,0.0,-2.9627864,0.0,0.0,0.83290476,0.7043221,1.0,0.0,0.6666667,0.0,0.0,0.23379093,0.0,0.0
10194,0.0,0.06488504,0.16734973,0.0,0.0,0.0,-0.6649021,0.0,-0.47672322,0.69040847,0.0,1.0,-0.92374486,0.74358976,-0.6734617,0.4808645,0.0,0.5665767,0.0,1.0,0.0,-0.7110868,0.47532985,0.0,0.0,0.0,0.15185976,1.0,0.0,-0.8367645,0.0,0.0,0.10234866,0.0,0.0,-0.6620588,0.45049375,1.0,0.0,-0.9444444,0.0,0.0,-0.5600532,0.0,0.0
16401,0.0,-0.47133282,0.05955077,0.0,0.0,0.0,0.75072736,0.0,-0.45342433,-0.36416322,1.0,0.0,0.6201593,0.20512821,0.8426355,0.42877904,0.0,0.44879514,0.0,1.0,0.0,0.71751136,0.05970875,1.0,0.0,0.0,-0.6775997,0.0,0.0,0.13612667,0.0,0.0,0.62496734,0.0,0.0,0.7793026,-0.28165382,1.0,0.0,0.6666667,0.0,0.0,0.7092586,0.0,0.0
2111,0.0,0.9385042,1.4597886,0.0,0.0,0.0,-0.42815167,1.0,0.7927486,-0.19094637,0.0,1.0,0.8627876,0.2820513,-0.41915494,1.0343866,0.0,0.6178856,0.0,0.0,0.0,-0.3502307,1.1032375,0.0,0.0,0.0,-0.42109424,0.0,0.0,0.48928732,0.0,0.0,0.84394497,0.0,1.0,-0.54986686,0.499874,0.0,1.0,-0.22222222,0.0,0.0,-1.1238009,0.0,0.0
3223,0.0,-0.835665,0.25248244,0.0,0.0,0.0,0.24759659,0.0,-1.01299,0.21038374,1.0,0.0,0.2594818,0.30769232,0.12806192,-0.09991545,0.0,-1.2364385,0.0,0.0,1.0,0.20239788,0.5810684,0.0,0.0,1.0,-0.5995375,1.0,0.0,-1.0922947,0.0,0.0,-0.3016606,0.0,0.0,-0.22969177,-1.3610573,0.0,0.0,0.5555556,0.0,0.0,0.28482017,0.0,0.0
14297,0.0,-0.63614196,-0.7387786,0.0,0.0,0.0,-0.6955173,0.0,0.7127347,0.74466485,1.0,0.0,-0.32430688,0.20512821,-0.70913833,-2.5632496,0.0,-0.5821436,0.0,1.0,0.0,-0.70240957,-0.4038559,1.0,0.0,0.0,0.7541137,0.0,0.0,-0.8389827,0.0,0.0,-2.2231636,0.0,0.0,0.8218546,0.5010578,1.0,0.0,0.6666667,0.0,0.0,0.3318113,0.0,0.0
15527,0.0,-0.53979486,-0.27207467,0.0,0.0,0.0,0.14995818,0.0,0.030996347,0.09644298,1.0,0.0,0.22782876,0.20512821,0.19802965,-0.81410724,0.0,0.02054401,0.0,1.0,0.0,0.1276778,-0.13285552,1.0,0.0,0.0,-0.08286716,0.0,0.0,-0.26893118,0.0,0.0,-0.55814403,0.0,0.0,0.79697907,0.043484632,1.0,0.0,0.6666667,0.0,0.0,0.5524666,0.0,0.0
6009,0.0,-0.3014868,-0.66095066,0.0,0.0,0.0,0.25759,1.0,0.87329775,-0.28425547,0.0,0.0,-0.24164511,-0.5641026,0.22278807,-0.34552702,1.0,0.77303445,0.0,1.0,0.0,0.18544868,0.81554776,0.0,0.0,0.0,1.1259103,0.0,0.0,0.529051,0.0,0.0,-0.20223594,0.0,0.0,-0.0175177,-0.59243417,0.0,1.0,-0.7222222,0.0,0.0,0.6710584,0.0,0.0
16116,0.0,-0.4936575,-0.04858789,0.0,0.0,0.0,0.55482435,0.0,-0.29546225,-0.21396582,1.0,0.0,0.4922256,0.20512821,0.6324379,0.02348935,0.0,0.30914792,0.0,1.0,0.0,0.525174,-0.0030838174,1.0,0.0,0.0,-0.48366606,0.0,0.0,0.0040376987,0.0,0.0,0.23917016,0.0,0.0,0.7850672,-0.17562634,1.0,0.0,0.6666667,0.0,0.0,0.65813047,0.0,0.0
